driverId,week,hours-logged,miles-logged
16,4,55,700
40,32,51,2600
91,50,66,2200
31,27,75,1300
26,51,63,2600
76,10,73,3100
84,42,58,300
102,40,63,1500
109,12,76,2200
40,29,63,600
89,50,71,3300
63,16,70,500
26,17,58,1000
93,36,64,1200
23,40,68,3600
61,51,79,2200
51,11,78,2300
28,8,77,3800
97,31,62,2000
31,6,64,1400
65,11,58,3200
97,15,71,3100
106,6,62,200
100,52,63,1900
99,35,59,2200
85,32,54,0
73,44,66,600
55,26,80,100
14,27,71,1000
52,40,62,900
18,29,55,3700
51,11,65,0
98,6,70,2500
29,37,66,3300
102,23,57,1400
23,30,78,3900
44,8,70,1700
60,8,80,2600
105,7,57,200
18,18,57,2100
85,4,78,400
106,18,79,1300
58,24,76,1800
100,11,63,0
25,13,57,3900
19,28,63,2500
42,36,64,4000
50,45,73,2600
50,30,68,1900
29,30,52,1800
37,24,67,3100
65,19,71,2600
17,37,59,200
53,46,67,4000
10,28,77,1600
40,9,64,200
57,2,50,1700
103,49,64,900
49,8,79,700
86,32,77,1000
25,5,80,3700
77,18,75,1600
105,24,71,500
19,28,56,3100
19,12,80,1800
47,52,53,1100
56,44,63,1400
23,6,53,900
20,17,55,2800
46,48,62,1000
85,20,78,1400
29,38,61,3200
80,48,62,0
21,20,52,3200
61,38,78,2800
66,51,74,500
95,14,72,1100
89,27,71,1800
31,32,53,3400
67,48,51,3400
95,43,76,2800
21,1,74,4000
102,27,66,2000
50,15,72,3500
92,42,79,2500
44,21,55,1900
14,7,60,1900
95,23,50,2600
73,32,55,3600
81,22,53,3600
102,5,50,2100
109,22,80,0
50,8,79,1000
75,24,68,400
69,24,52,2600
98,14,64,1200
89,5,71,3600
70,15,62,3600
55,10,53,3100
12,18,63,2100
100,49,50,1400
38,13,68,1500
71,30,64,3100
30,45,63,200
59,2,68,800
37,31,72,2700
51,24,74,1500
49,38,79,900
109,6,53,4000
103,3,58,3300
28,45,79,3700
25,20,65,2800
81,1,58,2000
51,20,52,1100
95,47,58,1900
96,48,76,300
71,1,70,2900
77,37,57,600
13,44,53,2000
82,18,55,4000
63,16,70,3200
103,6,68,1400
86,20,71,2300
59,50,79,2200
78,22,80,2900
48,19,63,1900
74,35,78,2400
87,8,68,3600
101,1,79,2800
47,48,57,1300
29,39,76,0
38,21,72,1800
56,45,62,300
100,21,57,400
28,37,71,3400
52,51,50,100
70,35,65,400
36,35,64,1300
56,14,68,2900
20,3,80,1800
94,20,50,3300
95,29,65,3200
59,28,50,1100
91,41,62,0
103,16,54,700
41,2,57,0
63,19,76,3600
41,39,74,400
57,17,51,1900
93,10,64,0
90,52,64,3200
73,8,55,1000
44,1,65,1900
105,6,74,1200
57,11,63,2300
106,43,65,2700
106,24,80,1600
58,4,74,3600
55,14,72,2000
51,38,61,500
56,46,56,2100
80,47,62,2100
105,1,73,3700
36,8,65,600
24,4,71,900
89,1,63,1900
70,10,69,3600
60,47,64,2100
43,14,52,2500
101,11,61,2700
90,3,76,2500
39,45,56,2100
44,32,76,3100
69,23,73,700
50,37,60,200
26,4,73,100
100,16,73,2600
95,41,72,400
106,41,80,400
101,45,77,2700
66,25,70,2500
65,14,65,3200
50,17,52,300
99,17,53,2000
59,15,57,300
56,46,80,2600
49,38,60,2500
75,44,50,2000
26,37,66,3400
17,28,57,400
25,42,78,2400
107,39,64,1500
43,6,63,2200
66,23,72,1800
21,16,72,1500
63,14,58,900
94,11,60,3000
73,7,66,3000
82,30,74,700
25,14,50,2300
63,41,52,1100
98,32,68,1900
96,28,74,1100
93,51,76,2300
96,13,79,300
40,9,61,1700
39,10,71,400
22,49,53,1500
98,24,57,600
24,25,76,3100
44,7,75,500
19,36,70,3900
29,4,58,3000
20,22,50,400
73,28,54,3700
15,39,76,3200
41,1,66,2800
71,34,54,1900
76,50,78,3500
92,50,58,100
51,9,62,600
102,5,76,1500
88,27,78,2300
77,5,51,2300
47,2,61,3500
40,28,56,1800
78,29,73,3000
17,44,65,1100
99,31,64,2300
38,23,75,3300
54,12,52,3400
101,51,73,1600
105,39,72,1300
77,51,80,3300
20,24,76,3900
94,19,59,500
51,7,79,2600
62,6,59,2400
107,30,76,1800
70,42,72,2300
81,25,70,100
41,19,68,3100
80,10,69,600
50,50,75,3900
29,14,68,2100
34,12,75,3300
48,41,53,500
33,17,72,2900
45,32,67,3800
66,7,67,2000
10,3,73,0
76,17,79,2700
43,51,73,1000
59,5,76,1700
54,24,53,1900
10,7,66,1500
109,40,78,1800
24,18,63,3400
53,40,64,500
40,20,57,3700
37,3,59,1000
102,52,63,3900
36,48,69,900
108,20,78,1300
66,35,64,200
26,24,50,2400
94,9,75,700
79,12,77,2800
92,2,55,1300
68,19,54,3300
107,15,58,400
45,43,65,2000
86,33,69,900
78,37,74,3600
41,35,75,3000
24,52,61,3100
44,23,61,200
62,20,71,2500
97,26,72,1000
17,46,74,3400
45,44,76,1900
11,11,74,3300
53,21,60,200
104,29,75,3400
48,41,53,2400
29,14,51,900
86,28,78,100
42,43,55,2400
83,45,68,1500
40,17,80,2000
49,35,60,1700
97,35,54,1100
107,30,52,3600
106,52,74,3600
59,18,76,100
55,29,80,2300
72,19,67,1300
22,33,57,600
105,43,76,4000
44,23,54,3900
98,22,58,800
93,36,74,2700
46,24,79,2700
63,12,64,2100
84,39,51,4000
60,4,59,600
61,48,57,2100
10,38,64,3700
52,18,67,1700
60,34,63,2600
39,22,64,3000
80,2,68,100
89,45,60,2400
23,10,66,3300
68,36,74,1100
83,28,66,2100
26,11,52,0
92,31,67,800
92,28,53,2000
87,18,80,2900
18,36,70,600
39,45,50,2000
53,7,76,200
45,35,56,2800
68,52,74,2700
95,20,54,2200
25,41,56,1900
12,8,58,3500
99,34,51,3400
95,47,75,3300
99,34,52,900
24,45,77,1000
11,21,80,0
56,3,59,0
19,20,63,1000
75,19,74,600
21,40,58,1700
103,19,65,4000
18,14,63,2800
11,27,52,2900
26,31,60,300
32,8,54,800
95,29,69,700
17,26,59,2400
41,8,76,700
75,37,67,600
75,35,67,4000
79,9,62,3700
106,47,62,3400
32,51,60,2400
27,6,50,2800
104,16,62,900
15,3,58,300
22,23,68,500
105,5,56,3300
68,2,56,1700
81,25,70,3000
101,3,76,2700
99,46,73,2000
53,12,69,700
98,47,72,2200
54,31,68,1500
82,43,57,2900
62,46,65,1800
41,27,69,1700
22,11,71,300
74,15,70,1700
52,11,71,1800
46,29,60,1200
29,42,72,1100
90,26,68,3700
28,25,71,1200
28,49,78,3800
38,23,79,600
107,27,66,800
17,47,63,900
82,2,75,3500
58,52,68,2500
27,15,69,2400
106,7,50,600
20,11,61,400
21,11,72,3200
17,52,79,900
35,11,50,2700
16,38,51,3600
76,10,66,1900
78,36,50,1900
18,47,69,0
41,12,61,700
73,8,67,4000
63,50,68,600
11,20,53,1900
90,36,54,1700
68,10,64,2400
102,35,80,2200
71,25,57,200
70,50,58,1600
41,34,77,1800
72,31,51,2500
62,49,69,600
66,5,79,1200
42,43,64,300
56,32,58,3200
81,29,77,2400
64,10,55,1500
62,49,52,900
91,8,52,1900
25,11,66,3300
21,20,80,1100
106,37,79,1500
65,2,65,900
73,34,53,100
85,5,59,2800
49,30,77,1000
62,51,54,3500
11,45,72,2100
27,8,74,100
20,30,62,1200
79,23,80,2000
27,35,56,1100
21,3,71,1800
72,15,66,3600
64,3,59,700
13,25,63,2600
67,36,58,2000
10,23,51,100
23,11,65,3500
100,29,64,1600
14,14,53,3400
21,39,60,700
15,52,55,3700
38,10,53,800
48,40,60,2700
32,43,75,1100
36,22,71,2700
95,14,51,1100
26,24,73,300
100,37,73,1900
93,25,56,3300
20,17,54,1400
45,18,56,3300
80,24,69,1300
107,7,63,800
101,21,60,500
17,11,66,1600
47,34,61,3600
107,16,57,1300
104,26,76,200
37,45,80,1100
41,44,64,2700
54,39,58,300
71,20,54,600
49,11,65,3700
79,34,70,2700
78,48,80,3100
39,10,73,2400
41,14,76,2800
52,39,58,0
16,20,69,3900
54,43,76,3400
73,38,57,1500
46,8,53,1600
107,51,55,3400
10,28,52,3800
27,28,64,3000
98,30,55,800
69,29,77,900
73,43,60,3900
92,40,50,1400
46,35,58,3200
109,4,76,4000
84,36,54,2900
13,43,66,500
19,37,56,1800
99,13,68,1000
86,44,65,900
37,50,71,3500
49,2,75,3200
